Gene Name,correlation.E-score,pvalue.E-score,adjpvalue.E-score,MME Biomarkers(Reference),Gene Name,correlation.S-score,pvalue.S-score,adjpvalue.S-score,MMS biomarkers(Reference)
P2RX6,0.638193956,1.84E-08,1.08E-06,,PFN1,0.634459283,2.36E-08,1.48E-06,
HOOK1,0.637686816,1.90E-08,1.11E-06,,FANCB,0.634273593,2.39E-08,1.50E-06,
C9orf116,0.637684391,1.90E-08,1.11E-06,,SUSD1,0.634108871,2.41E-08,1.51E-06,
UGP2,0.637513984,1.93E-08,1.12E-06,,TPX2,0.633797366,2.47E-08,1.54E-06,
RAB11FIP4,0.636691205,2.03E-08,1.17E-06,,ANKRD13A,0.633400624,2.53E-08,1.57E-06,
SPR,0.635644706,2.18E-08,1.25E-06,,UBE2C,0.633201574,2.56E-08,1.58E-06,
LSP1P3,0.63524622,2.24E-08,1.27E-06,,CHD7,0.633150388,2.57E-08,1.59E-06,
ANXA8,0.635207122,2.25E-08,1.27E-06,,CDC20,0.632823339,2.63E-08,1.60E-06,
ULK2,0.634787511,2.31E-08,1.30E-06,,VRK1,0.632682212,2.65E-08,1.61E-06,
CRLS1,0.633941807,2.44E-08,1.35E-06,,TNC,0.632607228,2.67E-08,1.62E-06,
LOC100653331,0.632648682,2.66E-08,1.47E-06,,CHST7,0.632391843,2.70E-08,1.63E-06,
TNXA,0.632500368,2.69E-08,1.48E-06,,NCAPH,0.63216383,2.75E-08,1.65E-06,
TMEM98,0.632388522,2.71E-08,1.48E-06,,FAM64A,0.632049799,2.77E-08,1.66E-06,
CADPS2,0.632366929,2.71E-08,1.48E-06,,RRM2,0.631992844,2.78E-08,1.66E-06,
ANXA8L1,0.631610472,2.85E-08,1.55E-06,,SPAG5,0.63161876,2.85E-08,1.69E-06,
IQCH-AS1,0.631528954,2.86E-08,1.55E-06,,PPP6R1,0.63155126,2.86E-08,1.70E-06,
SEMA5A,0.631018836,2.96E-08,1.59E-06,,BUB3,0.63151479,2.86E-08,1.70E-06,
C5orf42,0.630061607,3.15E-08,1.68E-06,,APCDD1L,0.631431502,2.88E-08,1.70E-06,
NTNG1,0.630006026,3.16E-08,1.68E-06,,RALA,0.63100323,2.96E-08,1.74E-06,
ZBTB7C,0.62919831,3.33E-08,1.76E-06,,MYO1E,0.630861641,2.99E-08,1.76E-06,
RHPN2,0.629035252,3.37E-08,1.78E-06,,CDCA8,0.630423484,3.08E-08,1.79E-06,
OMA1,0.628890572,3.40E-08,1.79E-06,,MELK,0.630423366,3.08E-08,1.79E-06,
MORN1,0.628766197,3.43E-08,1.80E-06,,ELMO2,0.630115229,3.14E-08,1.83E-06,
ZNF658B,0.628233053,3.55E-08,1.85E-06,,SKA1,0.630043431,3.15E-08,1.83E-06,
ARHGEF35,0.627571365,3.70E-08,1.92E-06,,CTPS1,0.629749666,3.22E-08,1.85E-06,
SPOCK2,0.626647333,3.93E-08,2.01E-06,Bueno2016(Sup.Table 2-Top50),FLNB,0.629635813,3.24E-08,1.86E-06,
DSP,0.626586076,3.95E-08,2.01E-06,,PRR16,0.629552821,3.26E-08,1.87E-06,
LGALS8,0.626051122,4.08E-08,2.07E-06,,NOTCH1,0.629482238,3.27E-08,1.87E-06,
DNAH7,0.625551854,4.22E-08,2.13E-06,,RGMB,0.629223652,3.33E-08,1.90E-06,
FAM110C,0.624952921,4.38E-08,2.21E-06,,MFSD12,0.629150534,3.34E-08,1.90E-06,
LOC728643,0.624746441,4.44E-08,2.23E-06,,FRMD4A,0.628716925,3.44E-08,1.94E-06,
ZNF19,0.623165694,4.91E-08,2.43E-06,,SERPINE2,0.628674838,3.45E-08,1.94E-06,
PRDX5,0.622575096,5.10E-08,2.50E-06,,LINC00294,0.628541475,3.48E-08,1.96E-06,
SEMA6D,0.621995783,5.29E-08,2.58E-06,,TMEM133,0.628025531,3.60E-08,2.01E-06,
PKD1L2,0.621881205,5.33E-08,2.59E-06,,RAD51,0.62796383,3.61E-08,2.02E-06,
LOC100130093,0.621145602,5.58E-08,2.70E-06,,RAB23,0.626559967,3.95E-08,2.19E-06,
CCDC6,0.620488907,5.82E-08,2.79E-06,,ADAM12,0.626411898,3.99E-08,2.20E-06,Bueno2016(Sup.Table 2-Top50)
C10orf11,0.620404117,5.85E-08,2.80E-06,,MCAM,0.626062637,4.08E-08,2.25E-06,
NEO1,0.620343968,5.87E-08,2.80E-06,,HAPLN1,0.625631967,4.20E-08,2.31E-06,
DDR1,0.61892121,6.42E-08,3.03E-06,,RHOBTB3,0.625231043,4.31E-08,2.36E-06,
LOC100509195,0.618609739,6.55E-08,3.08E-06,,LOC100653167,0.625106835,4.34E-08,2.37E-06,
C4orf34,0.618055076,6.78E-08,3.18E-06,,PHF19,0.624857351,4.41E-08,2.40E-06,
WBP1L,0.617310051,7.10E-08,3.32E-06,,CEP55,0.624733005,4.44E-08,2.42E-06,
PHLPP2,0.61703959,7.22E-08,3.37E-06,,LOC100507474,0.624671819,4.46E-08,2.42E-06,
RARRES1,0.616396064,7.52E-08,3.48E-06,,DIP2B,0.624368492,4.55E-08,2.46E-06,
GOLGA2P2Y,0.616276303,7.58E-08,3.50E-06,,DST,0.623869523,4.70E-08,2.53E-06,
FLJ41481,0.616150322,7.63E-08,3.51E-06,,MIR4668,0.623851633,4.70E-08,2.53E-06,
GOLPH3L,0.616148775,7.64E-08,3.51E-06,,PRR11,0.623610847,4.77E-08,2.56E-06,
ACBD4,0.615093335,8.15E-08,3.73E-06,,GLIPR2,0.62330717,4.87E-08,2.60E-06,
FGF18,0.613990069,8.73E-08,3.96E-06,,LGALS1,0.623164501,4.91E-08,2.62E-06,
RHOU,0.611472664,1.02E-07,4.55E-06,,MICALL1,0.623067016,4.94E-08,2.62E-06,
DYNC2LI1,0.610873248,1.06E-07,4.69E-06,,11-Sep,0.62301862,4.96E-08,2.62E-06,
KLK10,0.609854869,1.12E-07,4.96E-06,Bueno2016(Sup.Table 2-Top50),SLC7A1,0.62288249,5.00E-08,2.64E-06,
ADCY3,0.609710152,1.13E-07,4.99E-06,,FJX1,0.622845847,5.01E-08,2.64E-06,
C20orf132,0.609153821,1.17E-07,5.14E-06,,FDFT1,0.622340445,5.18E-08,2.72E-06,
KRBOX1,0.608434228,1.22E-07,5.33E-06,,SLC15A4,0.622239631,5.21E-08,2.73E-06,
ADH4,0.607778039,1.27E-07,5.50E-06,,TMEM184B,0.621862696,5.34E-08,2.78E-06,
C4orf37,0.607309848,1.31E-07,5.64E-06,,CD70,0.621856821,5.34E-08,2.78E-06,
KLK8,0.606356909,1.39E-07,5.93E-06,,MTHFD2,0.621783613,5.36E-08,2.79E-06,
EPHB3,0.604235676,1.58E-07,6.64E-06,,ATP8B1,0.621225122,5.56E-08,2.87E-06,Bueno2016(Sup.Table 2-Top50)
RNF207,0.60414268,1.58E-07,6.65E-06,,OXTR,0.620615025,5.77E-08,2.96E-06,
FAM83H,0.603936507,1.60E-07,6.70E-06,,TSPAN14,0.620431222,5.84E-08,2.98E-06,
LOC100507053,0.603583318,1.64E-07,6.83E-06,,GATAD2A,0.620132482,5.95E-08,3.03E-06,
DCUN1D4,0.603240063,1.67E-07,6.93E-06,,IL27RA,0.620008908,6.00E-08,3.05E-06,
HP,0.602906009,1.71E-07,7.05E-06,,SATB2,0.619919426,6.03E-08,3.06E-06,Bueno2016(Sup.Table 2-Top50)
ZNF658,0.602850734,1.71E-07,7.06E-06,,GOLT1B,0.619532598,6.18E-08,3.11E-06,
RAB17,0.602697518,1.73E-07,7.09E-06,,FAM83D,0.619387698,6.24E-08,3.14E-06,
PLXNA4,0.602256593,1.77E-07,7.25E-06,,CCNA2,0.619347176,6.25E-08,3.14E-06,
P4HTM,0.602248564,1.77E-07,7.25E-06,,NRBP1,0.619313666,6.27E-08,3.14E-06,
CTAGE15P,0.602149667,1.78E-07,7.25E-06,,LAYN,0.618992858,6.39E-08,3.18E-06,
AGBL2,0.602144413,1.78E-07,7.25E-06,,POC1A,0.6183796,6.64E-08,3.29E-06,
LRAT,0.602123034,1.79E-07,7.25E-06,,TBX15,0.618153083,6.74E-08,3.33E-06,
EPB41,0.601923424,1.81E-07,7.32E-06,,ANK1,0.617722952,6.92E-08,3.40E-06,
LOC100506746,0.601582895,1.84E-07,7.43E-06,,FAM40B,0.61740238,7.06E-08,3.46E-06,
ZNF680,0.601565894,1.85E-07,7.43E-06,,RAD51AP1,0.617354913,7.08E-08,3.46E-06,
PLCB1,0.601558064,1.85E-07,7.43E-06,,SEC23A,0.617237287,7.14E-08,3.48E-06,
GATA6,0.601273427,1.88E-07,7.53E-06,,STARD13,0.61697239,7.25E-08,3.51E-06,
CASP6,0.601065221,1.90E-07,7.61E-06,,XXYLT1,0.61583832,7.78E-08,3.76E-06,
WT1-AS,0.600888282,1.92E-07,7.68E-06,,KRT34,0.615800735,7.80E-08,3.76E-06,
PLEKHG3,0.600805087,1.93E-07,7.69E-06,,H2AFX,0.615589886,7.90E-08,3.80E-06,
LOC100506591,0.600512787,1.96E-07,7.81E-06,,C11orf24,0.615438565,7.98E-08,3.83E-06,
FLJ34208,0.599994804,2.03E-07,8.01E-06,,CDCA7,0.615338641,8.03E-08,3.84E-06,
AFF1,0.599972776,2.03E-07,8.01E-06,,BVES,0.615177587,8.11E-08,3.87E-06,
NRBP2,0.599505737,2.08E-07,8.21E-06,,SACS,0.615161054,8.12E-08,3.87E-06,
LOC644794,0.599054265,2.14E-07,8.40E-06,,CEP78,0.61446522,8.47E-08,4.00E-06,
KLF3,0.598709266,2.18E-07,8.54E-06,,MACF1,0.614372026,8.52E-08,4.02E-06,
OBSL1,0.597536124,2.34E-07,9.07E-06,,ILK,0.614132455,8.65E-08,4.07E-06,
SNCG,0.597296982,2.37E-07,9.17E-06,,PKN3,0.614012278,8.71E-08,4.09E-06,
SYCP2L,0.597150512,2.39E-07,9.23E-06,,BATF2,0.613679399,8.89E-08,4.17E-06,
LRRC6,0.596947623,2.42E-07,9.33E-06,,GLIPR1,0.613457603,9.02E-08,4.22E-06,
PTPN3,0.595324279,2.66E-07,1.01E-05,,NRP2,0.61314304,9.19E-08,4.28E-06,
OR2A7,0.595235307,2.67E-07,1.01E-05,,PLK1,0.61312634,9.20E-08,4.28E-06,
ARHGEF5,0.594078438,2.86E-07,1.07E-05,,G2E3,0.612951085,9.30E-08,4.32E-06,
SORBS2,0.593946386,2.88E-07,1.08E-05,,ANKRD52,0.612776315,9.40E-08,4.36E-06,
FN3K,0.593585429,2.94E-07,1.10E-05,,LOC100131826,0.612345249,9.65E-08,4.46E-06,
ZKSCAN1,0.593023353,3.03E-07,1.13E-05,,MATN3,0.612254046,9.71E-08,4.48E-06,
MPP6,0.592160366,3.19E-07,1.18E-05,,PML,0.612129553,9.78E-08,4.50E-06,
MCTP2,0.591666242,3.28E-07,1.21E-05,,SOCS1,0.612090641,9.81E-08,4.51E-06,
KIAA0825,0.591231265,3.36E-07,1.23E-05,,WDR62,0.611449736,1.02E-07,4.67E-06,
TMPRSS3,0.591176177,3.37E-07,1.23E-05,,DGKI,0.611431211,1.02E-07,4.67E-06,Bueno2016(Sup.Table 2-Top50)
EFNA1,0.590410254,3.52E-07,1.29E-05,,ARHGAP11A,0.611075558,1.04E-07,4.76E-06,
IL18,0.590062566,3.59E-07,1.31E-05,,CTSZ,0.610844482,1.06E-07,4.81E-06,
DHODH,0.589958148,3.61E-07,1.32E-05,,FOXD1,0.610809181,1.06E-07,4.81E-06,
RNF148,0.589871881,3.63E-07,1.32E-05,,CCDC77,0.610493167,1.08E-07,4.89E-06,
CUX1,0.589746233,3.66E-07,1.33E-05,,LRP12,0.610391188,1.09E-07,4.91E-06,
TSPAN4,0.589501665,3.71E-07,1.34E-05,,WDR76,0.610349842,1.09E-07,4.91E-06,
THAP6,0.588966244,3.82E-07,1.37E-05,,STARD4,0.609788587,1.13E-07,5.07E-06,
LOC100508120,0.58889106,3.84E-07,1.37E-05,,BUB1,0.608922647,1.19E-07,5.32E-06,
TEF,0.588360967,3.96E-07,1.41E-05,,HN1,0.608734205,1.20E-07,5.37E-06,
PTGS1,0.588319005,3.97E-07,1.41E-05,,HDAC1,0.608604937,1.21E-07,5.40E-06,
LONRF2,0.588167357,4.00E-07,1.42E-05,,CLTCL1,0.608453155,1.22E-07,5.44E-06,
GDPD5,0.588130409,4.01E-07,1.42E-05,,CTHRC1,0.608033865,1.25E-07,5.56E-06,
SLC7A2,0.588010266,4.04E-07,1.43E-05,,VASP,0.607753621,1.28E-07,5.65E-06,
DYNC2H1,0.587488943,4.16E-07,1.46E-05,,SLC26A6,0.607454677,1.30E-07,5.72E-06,
DHRS13,0.587369293,4.18E-07,1.47E-05,,DCBLD2,0.607296912,1.31E-07,5.74E-06,
DKFZP686I15217,0.586773843,4.33E-07,1.51E-05,,RAI14,0.607269592,1.31E-07,5.74E-06,
SAMD12-AS1,0.586276949,4.45E-07,1.54E-05,,TRIM8,0.606988488,1.34E-07,5.82E-06,
ZRANB2-AS2,0.586191906,4.47E-07,1.55E-05,,NIN,0.606959037,1.34E-07,5.82E-06,
RASSF3,0.586031324,4.51E-07,1.56E-05,,ITGB1,0.606885784,1.34E-07,5.84E-06,
CTAGE4,0.585520526,4.64E-07,1.60E-05,,CSPG4,0.606469117,1.38E-07,5.95E-06,
SLX1A-SULT1A3,0.584819077,4.83E-07,1.66E-05,,ORAI1,0.606442374,1.38E-07,5.95E-06,
SULT1A2,0.584785348,4.84E-07,1.66E-05,,SPARC,0.605740761,1.44E-07,6.19E-06,
WDR78,0.584144563,5.01E-07,1.71E-05,,UBE2A,0.604306698,1.57E-07,6.66E-06,
ZDHHC23,0.583639805,5.15E-07,1.75E-05,,MB21D1,0.604151869,1.58E-07,6.70E-06,
LCA5L,0.58347195,5.20E-07,1.77E-05,,C2orf27A,0.604093436,1.59E-07,6.71E-06,
TOB1,0.583388491,5.23E-07,1.77E-05,,LOC100507460,0.603766274,1.62E-07,6.83E-06,
KCTD8,0.582511634,5.49E-07,1.85E-05,,LOC730755,0.603272068,1.67E-07,7.00E-06,
LOC646938,0.581690752,5.74E-07,1.93E-05,,CERCAM,0.603108916,1.69E-07,7.06E-06,
DCAF8,0.581079462,5.94E-07,1.99E-05,,COL12A1,0.602966155,1.70E-07,7.11E-06,
LOC100132707,0.580988927,5.97E-07,1.99E-05,,ASPHD2,0.602827251,1.71E-07,7.15E-06,
PNPLA4,0.580126344,6.26E-07,2.07E-05,,BRIP1,0.60260114,1.74E-07,7.23E-06,
LOC100505633,0.580091036,6.27E-07,2.07E-05,,NRBF2,0.602460865,1.75E-07,7.28E-06,
FBXO36,0.579731701,6.40E-07,2.11E-05,,PEA15,0.602428636,1.75E-07,7.28E-06,
ZC2HC1C,0.579648892,6.43E-07,2.11E-05,,RBM24,0.601327946,1.87E-07,7.74E-06,
GRIP1,0.579251017,6.57E-07,2.15E-05,,CNN3,0.600507618,1.96E-07,8.10E-06,
THAP5,0.579145453,6.60E-07,2.16E-05,,ARL3,0.599853075,2.04E-07,8.37E-06,
TOM1L1,0.57904974,6.64E-07,2.17E-05,,PANK1,0.599695183,2.06E-07,8.43E-06,
LOC100653273,0.578573916,6.81E-07,2.21E-05,,SAE1,0.59969096,2.06E-07,8.43E-06,
PMVK,0.57836431,6.89E-07,2.22E-05,,RNU5A-8P,0.599356423,2.10E-07,8.58E-06,
THNSL1,0.578238405,6.94E-07,2.23E-05,,COL15A1,0.59929737,2.11E-07,8.59E-06,
PCLO,0.577824469,7.10E-07,2.28E-05,,DEPDC1,0.598977043,2.15E-07,8.72E-06,
MIR1227,0.577238116,7.33E-07,2.33E-05,,MARK4,0.59869058,2.19E-07,8.85E-06,
NEK11,0.577141892,7.37E-07,2.34E-05,,CPNE7,0.598554493,2.20E-07,8.90E-06,
LOC388152,0.57672956,7.53E-07,2.38E-05,,RABAC1,0.598266912,2.24E-07,9.03E-06,
VIPR2,0.57612203,7.79E-07,2.43E-05,,FAM26E,0.59797536,2.28E-07,9.17E-06,
OBSCN,0.575822577,7.91E-07,2.47E-05,,NCAPG,0.597776569,2.31E-07,9.26E-06,
C11orf35,0.57577568,7.93E-07,2.47E-05,,BATF3,0.597661457,2.32E-07,9.31E-06,
ALDH5A1,0.575458799,8.07E-07,2.49E-05,,AP2A1,0.597610199,2.33E-07,9.31E-06,
PLEKHA1,0.57429767,8.59E-07,2.62E-05,,NLGN2,0.597551532,2.34E-07,9.31E-06,
ANKRD5,0.572921346,9.25E-07,2.81E-05,,ARSB,0.597517939,2.34E-07,9.31E-06,
LOC283335,0.572629238,9.40E-07,2.84E-05,,SLC39A13,0.597348656,2.36E-07,9.37E-06,
TTC12,0.571884473,9.78E-07,2.95E-05,,MYO1B,0.597163287,2.39E-07,9.44E-06,
CDK14,0.571473018,1.00E-06,3.01E-05,,CREB3L1,0.597052854,2.40E-07,9.48E-06,
RN5S330,0.570590631,1.05E-06,3.13E-05,,FAM54A,0.597014984,2.41E-07,9.48E-06,
ENO4,0.570557844,1.05E-06,3.13E-05,,TRIM59,0.596925523,2.42E-07,9.52E-06,
CLCC1,0.570534222,1.05E-06,3.13E-05,,TMC7,0.596880907,2.43E-07,9.52E-06,
LACTB2,0.570448424,1.06E-06,3.15E-05,,UBE2V1,0.596870711,2.43E-07,9.52E-06,
ELFN1,0.569881845,1.09E-06,3.22E-05,,HDAC2,0.596803312,2.44E-07,9.54E-06,
BBS1,0.569362128,1.12E-06,3.30E-05,,FMNL3,0.59672588,2.45E-07,9.57E-06,Bueno2016(Sup.Table 2-Top50)
LOC439990,0.569318682,1.12E-06,3.30E-05,,FAM57A,0.596480318,2.49E-07,9.69E-06,
ADH5,0.568743611,1.16E-06,3.37E-05,,TTK,0.596364611,2.50E-07,9.74E-06,
SLC25A29,0.568492866,1.17E-06,3.40E-05,,LEPREL4,0.596004406,2.56E-07,9.90E-06,
ALG1L2,0.567939212,1.21E-06,3.49E-05,,C9orf91,0.595878486,2.57E-07,9.96E-06,
LOC100288420,0.567835659,1.21E-06,3.50E-05,,SGTB,0.595819222,2.58E-07,9.97E-06,
LOC100506688,0.56765238,1.22E-06,3.53E-05,,CASC5,0.595800899,2.59E-07,9.97E-06,
ISOC2,0.567567933,1.23E-06,3.53E-05,,RAB5C,0.595729287,2.60E-07,9.99E-06,
RAB11FIP3,0.567393704,1.24E-06,3.56E-05,,FLI1-AS1,0.595707952,2.60E-07,9.99E-06,
RNF133,0.567003133,1.27E-06,3.62E-05,,C19orf47,0.595567538,2.62E-07,1.01E-05,
WFDC2,0.56621066,1.32E-06,3.76E-05,,AMIGO2,0.594606667,2.77E-07,1.06E-05,
SYBU,0.566110126,1.33E-06,3.78E-05,,GPSM2,0.594289406,2.82E-07,1.07E-05,
MIR4640,0.566031365,1.33E-06,3.79E-05,,DKK1,0.593527542,2.95E-07,1.12E-05,
TMTC2,0.566000168,1.34E-06,3.79E-05,,PBK,0.593400603,2.97E-07,1.13E-05,
LOC100128893,0.565949659,1.34E-06,3.79E-05,,COL11A1,0.592693867,3.09E-07,1.17E-05,
PREPL,0.565506058,1.37E-06,3.88E-05,,TPM4,0.592691088,3.09E-07,1.17E-05,
ZBTB41,0.564827901,1.42E-06,4.01E-05,,MXRA7,0.5921901,3.18E-07,1.20E-05,
GNG12-AS1,0.564651232,1.43E-06,4.03E-05,,CDCA5,0.592178035,3.19E-07,1.20E-05,
LOC550113,0.564090493,1.48E-06,4.14E-05,,TMEM171,0.591730854,3.27E-07,1.22E-05,
IPP,0.56388357,1.49E-06,4.16E-05,,ANKRD1,0.591378454,3.33E-07,1.25E-05,
C14orf64,0.563785736,1.50E-06,4.18E-05,,STIM1,0.591326961,3.34E-07,1.25E-05,
ZNF33B,0.563637561,1.51E-06,4.20E-05,,IGF2BP2,0.591174121,3.37E-07,1.26E-05,
ATP8A1,0.563338779,1.53E-06,4.26E-05,,SF3A2,0.590701087,3.47E-07,1.29E-05,
CLOCK,0.563074851,1.56E-06,4.30E-05,,PPM1G,0.590690162,3.47E-07,1.29E-05,
ST3GAL1,0.562968505,1.56E-06,4.31E-05,,NT5DC2,0.590670202,3.47E-07,1.29E-05,
DTWD1,0.562531845,1.60E-06,4.40E-05,,SHCBP1,0.590503234,3.50E-07,1.30E-05,
DLEC1,0.562387073,1.61E-06,4.42E-05,,ARPC5L,0.590415047,3.52E-07,1.30E-05,
FBXO44,0.561365475,1.70E-06,4.63E-05,,MICB,0.590128674,3.58E-07,1.32E-05,
C2orf55,0.560584895,1.77E-06,4.79E-05,,DYRK2,0.590128634,3.58E-07,1.32E-05,
ADH1B,0.560131338,1.81E-06,4.89E-05,,CDH2,0.590127608,3.58E-07,1.32E-05,
EFEMP1,0.560010877,1.82E-06,4.91E-05,,DESI1,0.58973231,3.66E-07,1.35E-05,
PPIL6,0.55999915,1.82E-06,4.91E-05,,EOGT,0.589681357,3.67E-07,1.35E-05,
ADAMTS15,0.559798685,1.84E-06,4.94E-05,,FANCA,0.589067571,3.80E-07,1.39E-05,
ATL1,0.559578667,1.86E-06,4.97E-05,,DBH-AS1,0.589065078,3.80E-07,1.39E-05,
TTC18,0.558884225,1.93E-06,5.14E-05,,TSPAN2,0.588904032,3.84E-07,1.40E-05,
SLC25A23,0.558558624,1.96E-06,5.21E-05,,TTYH3,0.588805684,3.86E-07,1.41E-05,
MAMSTR,0.558552725,1.96E-06,5.21E-05,,LHFPL2,0.588713795,3.88E-07,1.41E-05,
CREB3L4,0.558498368,1.97E-06,5.22E-05,,ZBTB38,0.588131995,4.01E-07,1.45E-05,
KLK7,0.557854502,2.04E-06,5.37E-05,,BICD1,0.588093982,4.02E-07,1.45E-05,
C1orf63,0.55761163,2.06E-06,5.42E-05,,GNAI2,0.587925471,4.06E-07,1.46E-05,
EPB41L4B,0.557488082,2.07E-06,5.44E-05,,TOR1B,0.587901923,4.06E-07,1.46E-05,
SHE,0.557336097,2.09E-06,5.48E-05,,QPCTL,0.587883665,4.06E-07,1.46E-05,
NMU,0.55674987,2.15E-06,5.61E-05,,RPP40,0.58781005,4.08E-07,1.47E-05,
PARD3B,0.556740556,2.15E-06,5.61E-05,,IGLV5-48,0.587589137,4.13E-07,1.48E-05,
IFT140,0.556541839,2.18E-06,5.66E-05,,DKK3,0.587336727,4.19E-07,1.50E-05,
FLJ37798,0.556381744,2.19E-06,5.70E-05,,DLGAP4,0.58730876,4.20E-07,1.50E-05,
GPR64,0.556345412,2.20E-06,5.70E-05,,MCU,0.586777358,4.33E-07,1.54E-05,
TBC1D3F,0.556322162,2.20E-06,5.70E-05,,PLIN3,0.586725687,4.34E-07,1.54E-05,
LOC100506325,0.556222961,2.21E-06,5.72E-05,,CDC45,0.585952978,4.53E-07,1.60E-05,
ZBED5,0.555278907,2.32E-06,5.96E-05,,C11orf84,0.585730152,4.59E-07,1.62E-05,
C2orf15,0.554980787,2.36E-06,6.02E-05,,CBL,0.585688622,4.60E-07,1.62E-05,
CPEB3,0.554691022,2.39E-06,6.10E-05,,PXDN,0.585601918,4.62E-07,1.62E-05,
C11orf1,0.554518687,2.41E-06,6.14E-05,,EMP3,0.585526886,4.64E-07,1.62E-05,
C11orf9,0.554343381,2.43E-06,6.18E-05,,C11orf75,0.585349399,4.69E-07,1.63E-05,
SERP1,0.55411036,2.46E-06,6.23E-05,,ULBP3,0.585253303,4.71E-07,1.64E-05,
LOC646762,0.55399317,2.48E-06,6.26E-05,,MBOAT2,0.585219621,4.72E-07,1.64E-05,
DNAH6,0.55389823,2.49E-06,6.28E-05,,ZFHX3,0.585126135,4.75E-07,1.65E-05,
PLA2G4A,0.553811492,2.50E-06,6.31E-05,,CNN1,0.584935412,4.80E-07,1.66E-05,
RN5S61,0.553603922,2.52E-06,6.36E-05,,FN1,0.584876635,4.81E-07,1.66E-05,
FAM86EP,0.553497287,2.54E-06,6.39E-05,,IKBIP,0.58457179,4.89E-07,1.69E-05,
HAS1,0.553367625,2.55E-06,6.42E-05,,PLCG1,0.584159931,5.01E-07,1.72E-05,
KIAA1407,0.553252321,2.57E-06,6.45E-05,,KIF4A,0.584152204,5.01E-07,1.72E-05,
MIR95,0.553243698,2.57E-06,6.45E-05,,AAK1,0.584134023,5.01E-07,1.72E-05,
C1orf192,0.552293441,2.70E-06,6.72E-05,,SETD8,0.584103813,5.02E-07,1.72E-05,
GAB1,0.551814226,2.76E-06,6.87E-05,,HS3ST3B1,0.583973038,5.06E-07,1.73E-05,
HSD17B8,0.551807062,2.76E-06,6.87E-05,,ENC1,0.583962826,5.06E-07,1.73E-05,
ZNF467,0.551252927,2.84E-06,7.03E-05,,KIF23,0.583405219,5.22E-07,1.78E-05,
OIP5-AS1,0.55125188,2.84E-06,7.03E-05,,SYNJ2,0.583020655,5.33E-07,1.81E-05,
HSF4,0.551136108,2.86E-06,7.06E-05,,PLK4,0.582619272,5.45E-07,1.85E-05,
LOC100506368,0.5510198,2.87E-06,7.09E-05,,DNLZ,0.582574277,5.47E-07,1.85E-05,
SLC16A1,0.550887237,2.89E-06,7.13E-05,,ROBO1,0.582262533,5.56E-07,1.88E-05,
KCNB1,0.55084256,2.90E-06,7.14E-05,,TK1,0.582230399,5.57E-07,1.88E-05,
RCHY1,0.550720403,2.92E-06,7.17E-05,,ALDH16A1,0.582088175,5.62E-07,1.89E-05,
HSD17B6,0.550138119,3.00E-06,7.34E-05,,ARF6,0.582010908,5.64E-07,1.90E-05,
CYP21A2,0.549686225,3.07E-06,7.48E-05,,NCAPG2,0.581957727,5.66E-07,1.90E-05,
DFNB59,0.549314074,3.13E-06,7.61E-05,,CKAP2L,0.581907174,5.67E-07,1.90E-05,
USP2,0.549189291,3.15E-06,7.63E-05,,KIF11,0.581440441,5.82E-07,1.95E-05,
WDR96,0.549180632,3.15E-06,7.63E-05,,GPR68,0.581370822,5.84E-07,1.95E-05,
MIR3941,0.548876225,3.20E-06,7.73E-05,,SIGLEC10,0.581169938,5.91E-07,1.97E-05,
TMEM234,0.548725397,3.22E-06,7.75E-05,,RAD54L,0.58056192,6.11E-07,2.03E-05,
MSI2,0.548453273,3.26E-06,7.79E-05,,SLX4,0.579780562,6.38E-07,2.11E-05,
KCNC4,0.548250083,3.30E-06,7.85E-05,,KIF20A,0.579576832,6.45E-07,2.13E-05,
SLC33A1,0.548087224,3.32E-06,7.89E-05,,ALDH1B1,0.57938108,6.52E-07,2.15E-05,
EPHX2,0.548015834,3.34E-06,7.91E-05,,RACGAP1,0.579329087,6.54E-07,2.15E-05,
SAMD12,0.546727329,3.56E-06,8.36E-05,,FKBP10,0.579094132,6.62E-07,2.18E-05,
DHRS3,0.546634343,3.57E-06,8.39E-05,,MIR424,0.579035538,6.64E-07,2.18E-05,
ICA1,0.546501465,3.60E-06,8.42E-05,,NID1,0.578973068,6.67E-07,2.18E-05,Bueno2016(Sup.Table 2-Top50)
TSGA10,0.546468015,3.60E-06,8.42E-05,,MTA2,0.578893065,6.70E-07,2.19E-05,
ARHGAP32,0.546161062,3.66E-06,8.51E-05,,GNAS,0.57886979,6.71E-07,2.19E-05,
SEMA3C,0.546053911,3.68E-06,8.55E-05,,GPX7,0.578434118,6.87E-07,2.24E-05,
OSCP1,0.544823956,3.90E-06,9.02E-05,,PICALM,0.578382486,6.89E-07,2.24E-05,
BDH2,0.544653578,3.94E-06,9.06E-05,,PLAU,0.578274635,6.93E-07,2.25E-05,
PROS1,0.544600295,3.95E-06,9.08E-05,,DCLRE1B,0.578182108,6.96E-07,2.25E-05,
TBC1D3,0.544468217,3.97E-06,9.13E-05,,CCSAP,0.578174603,6.96E-07,2.25E-05,
C1orf111,0.544285463,4.01E-06,9.17E-05,,ERF,0.577828312,7.10E-07,2.29E-05,
RETSAT,0.54401884,4.06E-06,9.27E-05,,CENPE,0.577740944,7.13E-07,2.30E-05,
